Pregunta,Opción A,Opción B,Opción C,Opción D,Opción Correcta
¿Cuál es el nombre completo de Bart?,Bartolomeo J. Simpson,El barto Simpson,Bart Simpson,Bartomeu Simpson,Bartolomeo J. Simpson
¿Quién es el dueño de la Planta Nuclear?,Smithers,Lenny,Señor Burns,Carl,Señor Burns
¿Cómo se llama el bar que frecuenta Homero?,Bar Sim,Taberna de Moe,Bar de Joe,Bar de Barney,Taberna de Moe
¿Cuál es el apellido de la maestra de Bart?,Krabappel,Hoover,Bouvier,Van Houten,Krabappel
¿Cómo se llama el payaso de la TV que ve Bart?,Bozo,Krusty,Bonko,Pennywise,Krusty
¿Quién es el mejor amigo de Bart?,Milhouse,Ralph,Martin,Nelson,Milhouse
¿Qué instrumento musical toca Lisa?,Flauta,Guitarra,Saxofón,Piano,Saxofón
¿Cómo se llama el vecino religioso de los Simpson?,Ned,Reverendo,Apu,Clancy,Ned
¿Cuál es el nombre de la esposa de Apu?,Manjula,Selma,Patty,Edna,Manjula
¿Qué profesión tiene el Dr. Hibbert?,Dentista,Pediatra,Cirujano,Ginecólogo,Pediatra
¿Cuál es la bebida preferida de Homero?,Duff,Kvass,Spritz,Nectar,Duff
¿Cómo se llama la madre de Marge?,Selma,Patty,Jacqueline,Edna,Jacqueline
¿Quién llama siempre a Moe haciendo bromas?,Nelson,Bart,Lisa,Ralph,Bart
¿Cómo se llama el director de la escuela?,Skinner,Krabappel,Willie,Smithers,Skinner
¿Cómo se llama la hermana gemela de Selma?,Marge,Patty,Jacqueline,Edna,Patty
